date,client_id,region,temperature,humidity,consumption_kwh
2023-01-01,C0006,Centro,25.65294117647059,57.188235294117646,17.47
2023-01-01,C0007,Centro,25.65294117647059,57.188235294117646,14.42
2023-01-01,C0008,Centro,25.65294117647059,57.188235294117646,17.59
2023-01-01,C0009,Centro,25.65294117647059,57.188235294117646,14.63
2023-01-01,C0011,Centro,25.65294117647059,57.188235294117646,12.97
2023-01-01,C0021,Centro,25.65294117647059,57.188235294117646,10.82
2023-01-01,C0034,Centro,25.65294117647059,57.188235294117646,17.16
2023-01-01,C0035,Centro,25.65294117647059,57.188235294117646,12.41
2023-01-01,C0049,Centro,25.65294117647059,57.188235294117646,19.73
2023-01-01,C0053,Centro,25.65294117647059,57.188235294117646,8.04
2023-01-01,C0057,Centro,25.65294117647059,57.188235294117646,13.08
2023-01-01,C0061,Centro,25.65294117647059,57.188235294117646,16.11
2023-01-01,C0062,Centro,25.65294117647059,57.188235294117646,11.43
2023-01-01,C0076,Centro,25.65294117647059,57.188235294117646,16.48
2023-01-01,C0084,Centro,25.65294117647059,57.188235294117646,10.54
2023-01-01,C0099,Centro,25.65294117647059,57.188235294117646,16.1
2023-01-02,C0006,Centro,23.794117647058822,52.51764705882353,15.01
2023-01-02,C0007,Centro,23.794117647058822,52.51764705882353,12.45
2023-01-02,C0008,Centro,23.794117647058822,52.51764705882353,19.92
2023-01-02,C0009,Centro,23.794117647058822,52.51764705882353,11.6
2023-01-02,C0011,Centro,23.794117647058822,52.51764705882353,21.21
2023-01-02,C0021,Centro,23.794117647058822,52.51764705882353,12.13
2023-01-02,C0034,Centro,23.794117647058822,52.51764705882353,13.77
2023-01-02,C0035,Centro,23.794117647058822,52.51764705882353,15.01
2023-01-02,C0049,Centro,23.794117647058822,52.51764705882353,14.12
2023-01-02,C0053,Centro,23.794117647058822,52.51764705882353,12.74
2023-01-02,C0057,Centro,23.794117647058822,52.51764705882353,20.58
2023-01-02,C0061,Centro,23.794117647058822,52.51764705882353,11.66
2023-01-02,C0062,Centro,23.794117647058822,52.51764705882353,14.13
2023-01-02,C0076,Centro,23.794117647058822,52.51764705882353,15.74
2023-01-02,C0084,Centro,23.794117647058822,52.51764705882353,14.93
2023-01-02,C0099,Centro,23.794117647058822,52.51764705882353,18.13
2023-01-03,C0006,Centro,22.9,61.35882352941176,18.86
2023-01-03,C0007,Centro,22.9,61.35882352941176,18.02
2023-01-03,C0008,Centro,22.9,61.35882352941176,17.28
2023-01-03,C0009,Centro,22.9,61.35882352941176,10.54
2023-01-03,C0011,Centro,22.9,61.35882352941176,19.17
2023-01-03,C0021,Centro,22.9,61.35882352941176,10.43
2023-01-03,C0034,Centro,22.9,61.35882352941176,17.83
2023-01-03,C0035,Centro,22.9,61.35882352941176,12.89
2023-01-03,C0049,Centro,22.9,61.35882352941176,16.72
2023-01-03,C0053,Centro,22.9,61.35882352941176,12.21
2023-01-03,C0057,Centro,22.9,61.35882352941176,16.01
2023-01-03,C0061,Centro,22.9,61.35882352941176,18.24
2023-01-03,C0062,Centro,22.9,61.35882352941176,16.35
2023-01-03,C0076,Centro,22.9,61.35882352941176,14.73
2023-01-03,C0084,Centro,22.9,61.35882352941176,14.82
2023-01-03,C0099,Centro,22.9,61.35882352941176,14.64
2023-01-04,C0006,Centro,24.15882352941176,64.2235294117647,15.27
2023-01-04,C0007,Centro,24.15882352941176,64.2235294117647,16.91
2023-01-04,C0008,Centro,24.15882352941176,64.2235294117647,15.08
2023-01-04,C0009,Centro,24.15882352941176,64.2235294117647,13.17
2023-01-04,C0011,Centro,24.15882352941176,64.2235294117647,18.03
2023-01-04,C0021,Centro,24.15882352941176,64.2235294117647,10.13
2023-01-04,C0034,Centro,24.15882352941176,64.2235294117647,15.19
2023-01-04,C0035,Centro,24.15882352941176,64.2235294117647,13.87
2023-01-04,C0049,Centro,24.15882352941176,64.2235294117647,18.28
2023-01-04,C0053,Centro,24.15882352941176,64.2235294117647,9.25
2023-01-04,C0057,Centro,24.15882352941176,64.2235294117647,19.5
2023-01-04,C0061,Centro,24.15882352941176,64.2235294117647,15.8
2023-01-04,C0062,Centro,24.15882352941176,64.2235294117647,11.91
2023-01-04,C0076,Centro,24.15882352941176,64.2235294117647,14.98
2023-01-04,C0084,Centro,24.15882352941176,64.2235294117647,15.87
2023-01-04,C0099,Centro,24.15882352941176,64.2235294117647,17.33
2023-01-05,C0006,Centro,24.87058823529412,59.05882352941177,20.4
2023-01-05,C0007,Centro,24.87058823529412,59.05882352941177,21.19
2023-01-05,C0008,Centro,24.87058823529412,59.05882352941177,12.85
2023-01-05,C0009,Centro,24.87058823529412,59.05882352941177,10.04
2023-01-05,C0011,Centro,24.87058823529412,59.05882352941177,18.34
2023-01-05,C0021,Centro,24.87058823529412,59.05882352941177,11.05
2023-01-05,C0034,Centro,24.87058823529412,59.05882352941177,17.35
2023-01-05,C0035,Centro,24.87058823529412,59.05882352941177,17.59
2023-01-05,C0049,Centro,24.87058823529412,59.05882352941177,16.97
2023-01-05,C0053,Centro,24.87058823529412,59.05882352941177,10.44
2023-01-05,C0057,Centro,24.87058823529412,59.05882352941177,12.83
2023-01-05,C0061,Centro,24.87058823529412,59.05882352941177,15.2
2023-01-05,C0062,Centro,24.87058823529412,59.05882352941177,16.56
2023-01-05,C0076,Centro,24.87058823529412,59.05882352941177,20.09
2023-01-05,C0084,Centro,24.87058823529412,59.05882352941177,12.78
2023-01-05,C0099,Centro,24.87058823529412,59.05882352941177,19.83
2023-01-06,C0006,Centro,26.194117647058825,59.629411764705885,19.61
2023-01-06,C0007,Centro,26.194117647058825,59.629411764705885,18.27
2023-01-06,C0008,Centro,26.194117647058825,59.629411764705885,16.48
